Sample,Filtered,Peak1,Min,Max,Thresh1,Deriv2,DerivSq,Avg200,Thresh2,LeftQRS,RightQRS,DualQRS,StrongL
3904,3835,3835,3832,4608,4220,-1,1,163,2047,0,0,0,1
3874,3833,0,3832,4608,4220,-4,16,135,2047,0,0,0,1
3846,3836,0,3832,4608,4220,-5,25,110,2047,0,0,0,1
3830,3844,0,3832,4608,4220,-3,9,92,2047,0,0,0,1
3834,3853,0,3832,4608,4220,0,0,80,2047,0,0,0,1
3858,3860,0,3832,4608,4220,5,25,73,2047,0,0,0,1
3890,3862,0,3832,4608,4220,7,49,69,2047,0,0,0,1
3912,3861,0,3832,4608,4220,7,49,66,2047,0,0,0,1
3916,3858,0,3832,4608,4220,4,16,60,2047,0,0,0,1
3894,3858,0,3832,4608,4220,0,0,54,2047,0,0,0,1
3868,3859,3859,3847,4593,4220,-2,4,46,2047,0,0,0,1
3852,3862,0,3847,4593,4220,-2,4,40,2047,0,0,0,1
3852,3865,0,3847,4593,4220,0,0,35,2047,0,0,0,1
3878,3868,0,3847,4593,4220,1,1,32,2047,0,0,0,1
3916,3870,0,3847,4593,4220,2,4,31,2047,0,0,0,1
3938,3871,0,3847,4593,4220,2,4,31,2047,0,0,0,1
3948,3872,0,3847,4593,4220,2,4,30,2047,0,0,0,1
3924,3874,0,3847,4593,4220,1,1,30,2047,0,0,0,1
3880,3880,0,3847,4593,4220,1,1,29,2047,0,0,0,1
3838,3888,0,3847,4593,4220,2,4,29,2047,0,0,0,1
3818,3897,0,3847,4593,4220,4,16,29,2047,0,0,0,1
3822,3900,0,3847,4593,4220,6,36,30,2047,0,0,0,1
3844,3896,0,3847,4593,4220,7,49,30,2047,0,0,0,1
3874,3884,0,3847,4593,4220,5,25,30,2047,0,0,0,1
3894,3869,3869,3862,4578,4220,-1,1,30,2047,0,0,0,1
3886,3854,0,3862,4578,4220,-8,64,30,2047,0,0,0,1
3860,3842,0,3862,4578,4220,-13,169,31,2047,0,0,0,1
3832,3836,0,3862,4578,4220,-15,225,32,2047,0,0,0,1
3814,3834,0,3862,4578,4220,-13,169,33,2047,0,0,0,1
3822,3836,0,3862,4578,4220,-9,81,34,2047,0,0,0,1
3858,3839,0,3862,4578,4220,-5,25,34,2047,0,0,0,1
3910,3840,0,3862,4578,4220,-1,1,33,2047,0,0,0,1
3950,3839,0,3862,4578,4220,1,1,33,2047,0,0,0,1
3956,3841,0,3862,4578,4220,1,1,32,32,0,0,0,1
3924,3848,0,3862,4578,4220,0,0,32,32,0,0,0,1
3876,3860,0,3862,4578,4220,1,1,32,32,0,0,0,1
3834,3873,0,3862,4578,4220,4,16,32,32,0,0,0,1
3812,3886,0,3862,4578,4220,9,81,33,32,0,0,0,1
3820,3894,0,3862,4578,4220,11,121,34,32,0,0,0,1
3846,3893,0,3862,4578,4220,12,144,35,32,0,0,0,1
3882,3885,0,3862,4578,4220,9,81,36,32,0,0,0,1
3908,3872,0,3862,4578,4220,3,9,36,32,0,0,0,1
3914,3858,3858,3873,4563,4218,-4,16,35,32,0,0,0,1
3900,3847,0,3873,4563,4218,-10,100,36,32,0,0,0,1
